,owner,repo,path
697,Kubementat,kubementat,examples/helm_charts/nginx-example/templates/hpa.yaml
709,Leantime,leantime,helm/templates/hpa.yaml
710,Leantime,leantime,helm/templates/hpa.yaml
719,LibreTexts,Libretext,Kubeconfig/renderer/renderer.yml
720,Light-House-AI,Lighthouse,deploy/k8s/nn-generator.yml
728,Lpfigueiredo,k8s-basics,8-hpa.yaml
736,Luka-Spa,SwipeRight,k8s/profile/profile-autoscale.yaml
737,LuukEbenau,LetsChess,kubernetes/elasticsearch/logging-autoscale.yaml
750,MR5356,elune,charts/templates/hpa.yaml
761,MartinHeinz,metrics-on-kind,hpa.yaml
763,MassBank,MassBank3,charts/massbank3-export-service/templates/hpa.yaml
764,MasterCloudApps-Projects,DotNetFullMasterStack,deploy/k8s/helm/gateway-service/templates/hpa.yaml
765,MasterCruelty,Thesis-IAC,yaml/catnip.yaml
777,MediaMarktSaturn,helm-charts,charts/application/templates/flagger-canary.yaml
778,MediaMarktSaturn,helm-charts,charts/application/templates/flagger-canary.yaml
790,MikelPan,Cnblog,kubernetes/Helm/jaeger/templates/collector-hpa.yaml
791,MikelPan,Cnblog,kubernetes/Helm/gitlab/charts/gitlab/charts/sidekiq/templates/hpa.yaml
794,MinBZK,helm.regels.overheid.nl,charts/docs/templates/hpa.yaml
795,MinaFoundation,helm-charts,kyc-management-app/templates/hpa.yaml
796,MinaFoundation,helm-charts,kyc-management-app/templates/hpa.yaml
797,MinaFoundation,helm-charts,kyc-management-app/templates/hpa.yaml
798,MinaFoundation,helm-charts,kyc-management-app/templates/hpa.yaml
821,Multiwoven,helm-charts,charts/multiwoven/templates/multiwoven-ui-hpa.yaml
822,Multiwoven,helm-charts,charts/multiwoven/templates/multiwoven-ui-hpa.yaml
823,Musicminion,2022-2023-1-Cloud-OS,k8s_hw(2023)/config/hpa.yaml
830,NERC-CEH,datalab,code/workspaces/infrastructure-api/resources/auto-scaler.template.yml
831,NFDI4Chem,repo-helm-charts,charts/vibspecdb/templates/hpa-worker.yaml
832,NKcqx,CLIC,deployment/spark/templates/hpa-worker.yaml
833,NVIDIA,k8s-nim-operator,manifests/hpa.yaml
834,NVIDIA,k8s-nim-operator,manifests/hpa.yaml
835,NVIDIA,k8s-nim-operator,manifests/hpa.yaml
839,NarrativeCompany,narrative,kubernetes/narrative-core/dev/narrative-core-hpa.yml
851,Netflix,consoleme,helm/consoleme/templates/hpa.yaml
864,NorskHelsenett,ror,charts/ror-api/templates/hpa.yaml
865,NorskHelsenett,ror,charts/ror-operator/templates/hpa.yaml
866,NorskHelsenett,ror,charts/ror-operator/templates/hpa.yaml
867,NorskHelsenett,ror,charts/ror-web/templates/hpa.yaml
868,NorskHelsenett,ror,charts/ror-web/templates/hpa.yaml
869,NorskHelsenett,ror,charts/ror-operator/templates/hpa.yaml
870,NorskHelsenett,ror,charts/ror-operator/templates/hpa.yaml
871,NorskHelsenett,ror-api,charts/ror-api/templates/hpa.yaml
877,ONSdigital,ras-collection-instrument,_infra/helm/collection-instrument/templates/hpa.yaml
878,ONSdigital,ras-party,_infra/helm/party/templates/hpa.yaml
880,ONSdigital,ras-secure-message,_infra/helm/secure-message/templates/hpa.yaml
881,ONSdigital,rm-collection-exercise-service,_infra/helm/collection-exercise/templates/hpa.yaml
882,OPSWAT,metadefender-k8s,helm_charts/mdcore/templates/hpa-template.yml
883,OT-CONTAINER-KIT,helm-charts,charts/microservice/templates/hpa.yaml
884,Obmondo,kubeaid,argocd-helm-charts/erpnext/charts/erpnext/templates/hpa-gunicorn.yaml
885,Obmondo,kubeaid,argocd-helm-charts/gitea-runner/charts/act-runner/templates/hpa.yaml
886,Obmondo,kubeaid,argocd-helm-charts/traefik/charts/traefik/templates/hpa.yaml
887,Obmondo,kubeaid,argocd-helm-charts/erpnext/charts/erpnext/templates/hpa-gunicorn.yaml
888,Obmondo,kubeaid,argocd-helm-charts/gitea-runner/charts/act-runner/templates/hpa.yaml
892,Octops,agones-discover-openmatch,deploy/openmatch/01-open-match-core.yml
906,Open-EO,openeo-geotrellis-kubernetes,kubernetes/charts/openeo-web-editor/templates/hpa.yaml
907,Open-EO,openeo-geotrellis-kubernetes,kubernetes/charts/openeo-aggregator/templates/hpa.yaml
909,OpenCSGs,csghub-installer,helm/charts/csghub/charts/fluentd/templates/hpa.yaml
910,OpenLiberty,open-liberty-operator,deploy/olm-catalog/open-liberty-operator-certified/open-liberty-operator.v0.7.0.clusterserviceversion.yaml
911,OpenLiberty,open-liberty-operator,deploy/olm-catalog/open-liberty-operator-certified/open-liberty-operator.v0.6.1.clusterserviceversion.yaml
913,Orange-OpenSource,towards5gs-helm,charts/free5gc/charts/free5gc-nrf/templates/nrf-hpa.yaml
928,PRODYNA,upskill-training,terraform/2-kubernetes/assets/sample-kustomize/base/hpa.yaml
929,PaaS-TA,paas-ta-container-platform-deployment,standalone/applications/kubeflow-1.7.0/contrib/tektoncd/tektoncd-install/base/horizontal-pod-autoscaler.yaml
930,PaaS-TA,paas-ta-container-platform-deployment,standalone/applications/kubeflow-1.7.0/common/knative/knative-eventing/base/upstream/mt-channel-broker.yaml
933,PacktPublishing,Java-Concurrency-and-Parallelism,Chapter10/predictive-scaling/hpa.yaml
934,PacktPublishing,Kubernetes-A-Complete-DevOps-Cookbook,Chapter07/hpa-my-ch7-app.yaml
935,PacktPublishing,Kubernetes-Autoscaling,chapter06/troubleshooting/hpa.yaml
936,PacktPublishing,Kubernetes-Cookbook-Second-Edition,Chapter03/3-1/3-1-2_hpa.yaml
937,PacktPublishing,Managing-Kubernetes-Resources-using-Helm,chapter4/guestbook/templates/hpa.yaml
938,PacktPublishing,Mastering-Kubernetes-Third-Edition,Chapter8/hue-reminders-hpa.yaml
939,PacktPublishing,Mastering-Kubernetes-Third-Edition,Chapter8/nginx-hpa.yaml
940,PacktPublishing,Practical-Microservices-with-Dapr-and-.NET,chapter10/Deploy/sample.microservice.customization.yaml
941,PacktPublishing,Practical-Microservices-with-Dapr-and-.NET,chapter10/Deploy/sample.microservice.reservation.yaml
943,PacktPublishing,The-Kubernetes-Bible-Second-Edition,Chapter20/hpa/todo-hpa.yaml
944,PacktPublishing,The-Kubernetes-Bible-Second-Edition,extra/one-page-web-container/one-page-hpa.yaml
946,PaloAltoNetworks,lab-aws-cn-series-zero-trust,terraform/cnseries/cn-series/HPA/pan-cn-hpa-dp.yaml
959,Permify,helm-charts,charts/permify/templates/hpa.yaml
960,PeterGrace,pull-secret-operator,chart/pull-secret-operator/templates/hpa.yaml
961,PharmaLedger-IMI,helm-charts,charts/dfm-backend/templates/hpa.yaml
964,PingCAP-QE,ee-ops,charts/prow/templates/third-plugins/hpa.yaml
965,PingCAP-QE,ee-ops,charts/prow/templates/third-plugins/hpa.yaml
968,PlatonCod,CrableTroudlbe,packages/@CrableTroudlbe/companion/infra/kube/companion/companion-kube.yaml
974,Portkey-AI,helm,charts/portkey-app/templates/dataservice/hpa.yaml
975,Portkey-AI,helm,charts/portkey-app/templates/frontend/hpa.yaml
979,PostHog,charts-clickhouse,charts/posthog/templates/recordings-hpa.yaml
980,PostHog,charts-clickhouse,charts/posthog/templates/web-hpa.yaml
989,PreciselyData,cloudnative-geocoding-helm,charts/component-charts/geo-addressing-generic/charts/lookup-svc/templates/hpa.yaml
990,PrefectHQ,prefect-helm,charts/prefect-worker/templates/hpa.yaml
991,PrefectHQ,prefect-helm,charts/prefect-worker/templates/hpa.yaml
992,PrefectHQ,prefect-helm,charts/prefect-worker/templates/hpa.yaml
